idJugador,idPartido,puntos,asistencias,tapones,rebotes,robos,porcentajeTirosLibres,porcentajeTirosCampo,porcentajeTriples
203952,42100406,18,5,3,6,4,0.0,0.389,0.444
203490,42100406,6,0,0,1,0,0.0,0.667,0.667
203110,42100406,12,8,2,12,2,0.0,0.5,0.4
202691,42100406,12,2,0,5,2,0.0,0.25,0.25
201939,42100406,34,7,1,7,2,1.0,0.571,0.545
1626172,42100406,0,1,0,7,0,0.0,0.0,0.0
1627780,42100406,6,2,1,3,3,1.0,0.333,0.0
1629673,42100406,15,2,0,3,0,1.0,0.417,0.375
2738,42100406,0,0,0,0,0,0.0,0.0,0.0
202357,42100406,0,0,0,0,0,0.0,0.0,0.0
1630228,42100406,0,0,0,0,0,0.0,0.0,0.0
1627814,42100406,0,0,0,0,0,0.0,0.0,0.0
1630541,42100406,0,0,0,0,0,0.0,0.0,0.0
1629308,42100406,0,0,0,0,0,0.0,0.0,0.0
1628369,42100406,13,7,1,3,3,0.0,0.333,0.25
201143,42100406,19,2,1,14,2,1.0,0.75,0.8
1629057,42100406,10,2,5,7,0,1.0,0.5,0.0
1627759,42100406,34,3,0,7,1,0.833,0.522,0.455
203935,42100406,9,9,0,6,2,0.0,0.333,0.5
1628401,42100406,2,2,0,1,0,0.0,0.167,0.0
1630202,42100406,0,1,0,1,0,0.0,0.0,0.0
1629684,42100406,3,1,1,1,0,1.0,0.5,0.0
203917,42100406,0,0,0,0,0,0.0,0.0,0.0
1628436,42100406,0,0,0,1,0,0.0,0.0,0.0
1630573,42100406,0,0,0,0,0,0.0,0.0,0.0
1630174,42100406,0,0,0,0,0,0.0,0.0,0.0
1629752,42100406,0,0,0,0,0,0.0,0.0,0.0
1630238,42100406,0,0,0,0,0,0.0,0.0,0.0
1628464,42100406,0,0,0,0,0,0.0,0.0,0.0
1628369,42100405,27,4,0,10,0,0.333,0.5,0.556
201143,42100405,9,1,0,9,0,0.5,0.5,0.667
1629057,42100405,10,2,0,8,0,1.0,0.8,0.0
1627759,42100405,18,4,0,9,1,0.8,0.278,0.0
203935,42100405,20,2,0,3,0,0.75,0.467,0.5
1628401,42100405,1,3,0,1,1,0.5,0.0,0.0
1629684,42100405,3,1,2,3,0,1.0,0.5,0.0
1630202,42100405,0,0,0,1,0,0.0,0.0,0.0
1629752,42100405,0,0,0,1,0,0.0,0.0,0.0
1630573,42100405,0,1,0,0,0,0.0,0.0,0.0
203917,42100405,0,0,0,0,0,0.0,0.0,0.0
1628436,42100405,3,0,0,1,0,0.0,1.0,1.0
1630174,42100405,3,0,0,1,0,0.75,0.0,0.0
1630238,42100405,0,0,0,0,0,0.0,0.0,0.0
1628464,42100405,0,0,0,0,0,0.0,0.0,0.0
203952,42100405,26,2,1,13,1,0.667,0.522,0.0
203490,42100405,2,0,1,2,0,0.0,0.333,0.0
203110,42100405,8,6,0,7,1,1.0,0.5,0.0
202691,42100405,21,2,0,3,2,1.0,0.5,0.455
201939,42100405,16,8,0,4,2,0.667,0.318,0.0
1626172,42100405,2,3,0,4,0,0.0,0.5,0.0
1627780,42100405,15,0,0,5,3,1.0,0.75,0.333
2738,42100405,0,2,0,0,0,0.0,0.0,0.0
1629673,42100405,14,0,0,0,0,1.0,0.5,0.5
202357,42100405,0,0,0,1,0,0.0,0.0,0.0
1627814,42100405,0,0,0,0,0,0.0,0.0,0.0
1630541,42100405,0,0,0,0,0,0.0,0.0,0.0
1630228,42100405,0,0,0,0,0,0.0,0.0,0.0
1629308,42100405,0,0,0,0,0,0.0,0.0,0.0
203952,42100404,17,2,0,16,1,0.5,0.412,0.333
203490,42100404,2,1,0,1,0,1.0,0.0,0.0
203110,42100404,2,8,0,9,4,0.0,0.143,0.0
202691,42100404,18,1,2,2,1,0.0,0.412,0.4
201939,42100404,43,4,0,10,0,0.889,0.538,0.5
1626172,42100404,6,2,1,11,1,0.0,0.75,0.0
1627780,42100404,5,1,1,4,1,0.5,0.667,0.0
1629673,42100404,14,1,1,1,1,0.0,0.462,0.286
202357,42100404,0,0,0,1,1,0.0,0.0,0.0
2738,42100404,0,0,0,0,0,0.0,0.0,0.0
1630228,42100404,0,0,0,0,0,0.0,0.0,0.0
1627814,42100404,0,0,0,0,0,0.0,0.0,0.0
1630541,42100404,0,0,0,0,0,0.0,0.0,0.0
1629308,42100404,0,0,0,0,0,0.0,0.0,0.0
1628369,42100404,23,6,3,11,1,0.6,0.348,0.5
201143,42100404,8,4,1,6,0,1.0,0.333,0.333
1629057,42100404,7,4,2,12,1,0.5,1.0,0.0
1627759,42100404,21,2,0,6,1,0.5,0.474,0.333
203935,42100404,18,5,0,4,4,1.0,0.389,0.333
1628401,42100404,16,1,0,1,1,1.0,0.333,0.6
1629684,42100404,3,0,0,1,0,0.0,0.5,0.5
1630202,42100404,1,0,0,1,0,0.5,0.0,0.0
1630238,42100404,0,0,0,0,0,0.0,0.0,0.0
1630573,42100404,0,0,0,0,0,0.0,0.0,0.0
1628436,42100404,0,0,0,0,0,0.0,0.0,0.0
1629752,42100404,0,0,0,0,0,0.0,0.0,0.0
1630174,42100404,0,0,0,0,0,0.0,0.0,0.0
203917,42100404,0,0,0,0,0,0.0,0.0,0.0
1628464,42100404,0,0,0,0,0,0.0,0.0,0.0
203952,42100403,18,2,2,7,2,0.75,0.438,0.167
203110,42100403,2,3,1,4,0,0.0,0.25,0.0
1626172,42100403,6,3,0,7,0,0.0,0.75,0.0
202691,42100403,25,3,1,3,1,1.0,0.412,0.385
201939,42100403,31,2,0,4,2,1.0,0.545,0.545
1627780,42100403,2,1,0,1,1,1.0,0.0,0.0
203490,42100403,6,4,0,1,1,0.0,0.667,0.667
1629673,42100403,10,3,0,3,0,0.5,0.5,0.25
2738,42100403,0,0,0,0,0,0.0,0.0,0.0
202357,42100403,0,1,0,0,0,0.0,0.0,0.0
1630541,42100403,0,0,1,0,0,0.0,0.0,0.0
1630228,42100403,0,0,0,1,0,0.0,0.0,0.0
1627814,42100403,0,0,0,0,0,0.0,0.0,0.0
1629308,42100403,0,0,0,0,0,0.0,0.0,0.0
1628369,42100403,26,9,0,6,1,0.833,0.391,0.333
201143,42100403,11,6,1,8,1,0.0,0.714,0.5
1629057,42100403,8,0,4,10,3,0.0,0.8,0.0
1627759,42100403,27,5,1,9,0,0.833,0.563,0.5
203935,42100403,24,5,0,7,0,0.714,0.471,0.429
1628401,42100403,7,2,1,1,1,1.0,0.333,0.0
1629684,42100403,10,0,0,5,1,0.5,0.571,0.25
1630202,42100403,3,1,0,0,0,0.0,0.5,1.0
1630174,42100403,0,0,0,1,0,0.0,0.0,0.0
1630573,42100403,0,0,0,0,0,0.0,0.0,0.0
1629752,42100403,0,0,0,0,0,0.0,0.0,0.0
203917,42100403,0,0,0,0,0,0.0,0.0,0.0
1630238,42100403,0,0,0,0,0,0.0,0.0,0.0
1628436,42100403,0,0,0,0,0,0.0,0.0,0.0
1628464,42100403,0,0,0,0,0,0.0,0.0,0.0
1628369,42100402,28,3,0,6,1,0.75,0.421,0.667
201143,42100402,2,1,1,8,0,0.0,0.25,0.0
1629057,42100402,2,1,2,2,0,0.0,1.0,0.0
1627759,42100402,17,3,0,6,0,0.8,0.294,0.333
203935,42100402,2,5,0,2,1,0.0,0.167,0.0
1629684,42100402,6,1,1,1,0,0.5,1.0,1.0
1628401,42100402,12,2,2,4,1,1.0,0.308,0.5
1628464,42100402,0,1,1,5,0,0.0,0.0,0.0
1630202,42100402,4,2,0,4,1,0.0,0.286,0.0
1630174,42100402,4,2,0,2,1,0.0,0.5,0.0
1630573,42100402,3,1,0,0,0,0.0,0.5,0.5
203917,42100402,3,1,0,3,0,0.0,0.5,0.5
1628436,42100402,2,1,0,0,0,0.0,1.0,0.0
1630238,42100402,3,0,0,0,0,0.0,1.0,1.0
1629752,42100402,0,0,0,0,0,0.0,0.0,0.0
203952,42100402,11,2,0,6,0,0.5,0.333,0.667
203110,42100402,9,7,1,5,1,0.714,0.667,0.0
1626172,42100402,12,2,1,7,3,0.0,1.0,0.0
202691,42100402,11,1,0,3,2,1.0,0.211,0.125
201939,42100402,29,4,0,6,3,0.857,0.429,0.417
1629673,42100402,17,3,0,2,2,0.0,0.429,0.556
1627780,42100402,7,3,0,3,0,0.0,1.0,1.0
203490,42100402,3,1,0,3,3,0.0,1.0,1.0
202357,42100402,6,0,0,5,1,0.0,0.75,0.0
1630541,42100402,2,0,0,0,0,0.0,1.0,0.0
1629308,42100402,0,2,0,2,0,0.0,0.0,0.0
1627814,42100402,0,0,0,0,0,0.0,0.0,0.0
1630228,42100402,0,0,0,0,0,0.0,0.0,0.0
1628369,42100401,12,13,0,5,1,0.714,0.176,0.2
201143,42100401,26,3,0,6,1,0.667,0.75,0.75
1629057,42100401,8,0,4,6,1,0.0,1.0,0.0
1627759,42100401,24,5,1,7,2,1.0,0.435,0.25
203935,42100401,18,4,0,5,2,0.0,0.636,0.571
1628401,42100401,21,3,0,1,0,1.0,0.545,0.625
1629684,42100401,0,3,0,3,0,0.0,0.0,0.0
1630202,42100401,8,2,0,6,0,0.0,0.75,0.667
1628464,42100401,3,0,1,0,0,0.0,1.0,1.0
1630238,42100401,0,0,0,0,0,0.0,0.0,0.0
203917,42100401,0,0,0,0,0,0.0,0.0,0.0
1629752,42100401,0,0,0,0,0,0.0,0.0,0.0
1630573,42100401,0,0,0,0,0,0.0,0.0,0.0
1630174,42100401,0,0,0,0,0,0.0,0.0,0.0
1628436,42100401,0,0,0,0,0,0.0,0.0,0.0
203952,42100401,20,0,3,5,1,1.0,0.533,0.286
203110,42100401,4,5,0,11,2,0.0,0.167,0.0
1626172,42100401,4,5,3,9,0,1.0,0.25,0.0
202691,42100401,15,3,0,2,0,0.0,0.429,0.429
201939,42100401,34,5,0,5,3,0.75,0.48,0.5
1629673,42100401,9,2,0,2,0,1.0,0.286,0.2
203490,42100401,12,0,0,4,2,0.0,0.8,0.8
2738,42100401,7,3,0,0,0,0.0,0.75,1.0
1630228,42100401,0,0,0,0,0,0.0,0.0,0.0
1629308,42100401,0,1,0,0,0,0.0,0.0,0.0
1627814,42100401,0,0,0,0,0,0.0,0.0,0.0
202357,42100401,3,0,0,1,0,0.0,1.0,1.0
1630541,42100401,0,0,0,0,0,0.0,0.0,0.0
1627780,42100401,0,0,0,0,0,0.0,0.0,0.0
1628369,42100307,26,6,2,10,1,0.8,0.429,0.571
201143,42100307,5,3,2,14,1,0.0,0.222,0.167
1629057,42100307,2,1,0,3,0,1.0,0.0,0.0
1627759,42100307,24,6,0,6,0,0.875,0.533,0.2
203935,42100307,24,5,0,9,2,0.833,0.364,0.3
1628401,42100307,8,1,1,3,0,0.0,0.375,0.667
1629684,42100307,11,0,1,6,0,0.333,0.625,0.0
1630202,42100307,0,0,0,0,0,0.0,0.0,0.0
1630238,42100307,0,0,0,0,0,0.0,0.0,0.0
1628436,42100307,0,0,0,0,0,0.0,0.0,0.0
1629752,42100307,0,0,0,0,0,0.0,0.0,0.0
1630174,42100307,0,0,0,0,0,0.0,0.0,0.0
203917,42100307,0,0,0,0,0,0.0,0.0,0.0
1628464,42100307,0,0,0,0,0,0.0,0.0,0.0
202710,42100307,35,1,0,9,1,0.727,0.542,0.25
200782,42100307,0,0,1,4,0,0.0,0.0,0.0
1628389,42100307,25,4,0,11,0,0.333,0.571,0.0
1629622,42100307,8,3,2,8,1,0.0,0.3,0.286
200768,42100307,15,3,1,7,2,0.667,0.333,0.167
1629216,42100307,4,1,0,0,0,1.0,0.25,0.333
203506,42100307,9,3,0,5,0,0.0,0.333,0.143
1629639,42100307,0,1,1,0,0,0.0,0.0,0.0
203473,42100307,0,0,0,0,0,0.0,0.0,0.0
2617,42100307,0,0,0,0,0,0.0,0.0,0.0
1629312,42100307,0,0,0,0,0,0.0,0.0,0.0
1628997,42100307,0,0,0,0,0,0.0,0.0,0.0
202693,42100307,0,0,0,0,0,0.0,0.0,0.0
1629130,42100307,0,0,0,0,0,0.0,0.0,0.0
1630209,42100307,0,0,0,0,0,0.0,0.0,0.0
202710,42100306,47,8,1,9,4,1.0,0.552,0.5
200782,42100306,11,1,0,5,2,0.75,0.75,1.0
1628389,42100306,6,2,0,9,1,0.0,0.5,0.0
1629622,42100306,13,2,0,2,0,0.0,0.417,0.375
200768,42100306,18,10,1,4,1,1.0,0.357,0.444
1628997,42100306,5,0,0,3,0,0.0,0.5,1.0
1629216,42100306,2,2,0,0,1,1.0,0.0,0.0
1629130,42100306,0,0,0,0,0,0.0,0.0,0.0
203506,42100306,9,0,0,5,1,1.0,0.333,0.25
203473,42100306,0,0,0,0,0,0.0,0.0,0.0
